Name,Age,Salary,Gender,Department,Position,"Joining Date","Performance Score",Email,"Phone Number"
Hannah,40,55000,NULL,Sales,Assistant,2019-03-25,A,name@company.org,555-555-5555
Jack,50,NULL,Male,IT,Clerk,2020-02-20,A,NULL,123-456-7890
Grace,30,NULL,NULL,IT,Assistant,2018-04-05,B,,098-765-4321
Ivy,50,NULL,Famale,Marketing,Assistant,2019-03-25,A,name@company.org,123-456-7890
David,40,60000,NULL,HR,Director,2019-12-01,F,email@example.com,098-765-4321
David,25,65000,Male,HR,Analyst,2020-01-15,D,user@domain.com,123-456-7890
Alice,35,NULL,Male,Finance,Assistant,2020-02-20,B,name@company.org,098-765-4321
Hannah,30,50000,Famale,HR,Director,2019-12-01,D,name@company.org,098-765-4321
Charlie,35,70000,Famale,Marketing,Analyst,2018-04-05,D,,123-456-7890
Grace,40,60000,NULL,Finance,Clerk,2020-01-15,C,email@example.com,098-765-4321
Bob,30,55000,NULL,Finance,Clerk,2019-12-01,C,user@domain.com,NULL
Bob,50,60000,Male,IT,Manager,2020-01-15,B,name@company.org,NULL
Grace,NULL,55000,Famale,IT,Director,2020-02-20,C,user@domain.com,555-555-5555
Frank,35,60000,Famale,HR,Analyst,2018-04-05,C,NULL,098-765-4321
Charlie,30,55000,Famale,Finance,Assistant,2020-01-15,C,name@company.org,098-765-4321
Ivy,35,NULL,NULL,IT,Clerk,2019-12-01,D,name@company.org,555-555-5555
Jack,30,65000,Famale,Marketing,Analyst,2020-02-20,B,NULL,098-765-4321
Frank,25,55000,Male,IT,Director,2020-02-20,D,,555-555-5555
Jack,50,55000,Male,IT,Manager,2019-12-01,F,name@company.org,123-456-7890
Jack,35,50000,NULL,Finance,Clerk,2019-12-01,D,user@domain.com,NULL
Frank,NULL,55000,NULL,Finance,Analyst,2020-01-15,F,email@example.com,NULL
Alice,NULL,50000,Famale,Sales,Analyst,2019-03-25,A,user@domain.com,NULL
David,40,70000,NULL,Marketing,Analyst,2020-02-20,A,,098-765-4321
Jack,30,NULL,Male,Finance,Director,2020-01-15,F,email@example.com,NULL
Frank,35,50000,Famale,HR,Director,2019-12-01,F,user@domain.com,123-456-7890
Frank,40,65000,Male,Marketing,Director,2020-01-15,D,user@domain.com,NULL
Eve,35,NULL,Famale,Marketing,Assistant,2019-12-01,F,NULL,123-456-7890
Alice,30,50000,NULL,Finance,Analyst,2018-04-05,B,,123-456-7890
Hannah,NULL,NULL,Famale,Marketing,Clerk,2019-12-01,A,NULL,098-765-4321
Eve,25,NULL,Famale,Finance,Director,2019-12-01,A,email@example.com,123-456-7890
Eve,NULL,NULL,Male,IT,Director,2019-12-01,F,NULL,NULL
Grace,40,70000,Male,Sales,Analyst,2019-03-25,C,,NULL
David,50,65000,Famale,IT,Director,2019-12-01,C,name@company.org,NULL
Frank,25,60000,NULL,Finance,Assistant,2020-02-20,F,name@company.org,098-765-4321
David,40,60000,NULL,Finance,Assistant,2020-02-20,B,email@example.com,NULL
Charlie,30,50000,Male,IT,Director,2020-01-15,C,name@company.org,555-555-5555
Grace,25,NULL,NULL,HR,Analyst,2019-03-25,F,NULL,NULL
Hannah,40,50000,Male,HR,Analyst,2020-01-15,B,email@example.com,555-555-5555
David,30,70000,NULL,HR,Analyst,2020-02-20,B,,555-555-5555
Bob,NULL,70000,Famale,Finance,Manager,2020-02-20,D,email@example.com,098-765-4321
Jack,50,55000,Male,Marketing,Director,2018-04-05,B,email@example.com,123-456-7890
Charlie,30,70000,Male,Finance,Analyst,2019-12-01,C,user@domain.com,555-555-5555
Alice,35,55000,Famale,Marketing,Assistant,2020-02-20,C,user@domain.com,NULL
Hannah,30,65000,Male,IT,Clerk,2020-01-15,F,email@example.com,123-456-7890
Charlie,30,50000,NULL,Sales,Clerk,2020-01-15,F,name@company.org,NULL
Jack,50,65000,NULL,Marketing,Analyst,2019-12-01,B,user@domain.com,NULL
Grace,35,70000,Male,HR,Clerk,2019-12-01,A,,123-456-7890
Jack,40,65000,NULL,Finance,Clerk,2018-04-05,D,NULL,123-456-7890
Eve,40,65000,Male,IT,Manager,2019-03-25,A,user@domain.com,NULL
Jack,30,65000,Famale,HR,Assistant,2020-01-15,B,email@example.com,098-765-4321
Eve,35,70000,Male,IT,Assistant,2019-12-01,B,name@company.org,NULL
Grace,35,NULL,Famale,Sales,Manager,2020-01-15,A,NULL,NULL
Ivy,50,65000,NULL,Finance,Manager,2019-12-01,D,user@domain.com,098-765-4321
Eve,NULL,55000,Famale,Finance,Clerk,2020-02-20,A,name@company.org,123-456-7890
Alice,40,70000,NULL,Sales,Director,2020-01-15,F,name@company.org,NULL
Jack,50,65000,Male,Finance,Clerk,2020-02-20,C,name@company.org,NULL
Jack,25,NULL,NULL,Marketing,Manager,2020-01-15,F,email@example.com,NULL
Alice,40,70000,Male,IT,Assistant,2019-03-25,C,,098-765-4321
Bob,50,60000,Male,HR,Clerk,2018-04-05,B,name@company.org,NULL
Frank,40,NULL,Famale,Sales,Director,2020-02-20,D,NULL,098-765-4321
Ivy,NULL,55000,Famale,Marketing,Clerk,2019-12-01,A,user@domain.com,123-456-7890
Hannah,25,65000,Famale,HR,Analyst,2019-03-25,D,NULL,098-765-4321
Eve,NULL,60000,Famale,HR,Clerk,2020-01-15,A,email@example.com,098-765-4321
Alice,25,60000,NULL,Sales,Manager,2020-02-20,F,email@example.com,NULL
Grace,30,70000,NULL,Marketing,Assistant,2020-01-15,F,NULL,NULL
Eve,50,60000,NULL,HR,Assistant,2020-01-15,A,,NULL
Frank,25,55000,Male,HR,Manager,2020-01-15,D,email@example.com,555-555-5555
Grace,NULL,55000,NULL,Marketing,Analyst,2018-04-05,A,email@example.com,098-765-4321
Charlie,40,50000,NULL,Finance,Manager,2018-04-05,B,NULL,555-555-5555
Jack,25,55000,NULL,HR,Clerk,2019-12-01,F,email@example.com,NULL
Charlie,50,NULL,Famale,IT,Manager,2020-02-20,B,,NULL
Eve,25,60000,NULL,Marketing,Manager,2019-03-25,F,,NULL
Frank,35,55000,Male,HR,Analyst,2019-03-25,F,,NULL
Ivy,40,70000,Famale,Sales,Clerk,2019-03-25,C,user@domain.com,NULL
Eve,50,50000,Male,IT,Director,2020-01-15,B,,123-456-7890
Alice,50,60000,NULL,HR,Director,2018-04-05,B,,098-765-4321
David,30,50000,Famale,IT,Assistant,2020-02-20,C,user@domain.com,NULL
Eve,NULL,60000,Male,IT,Manager,2020-01-15,D,name@company.org,NULL
Jack,30,70000,NULL,Finance,Assistant,2018-04-05,B,email@example.com,NULL
Jack,50,50000,Male,IT,Analyst,2018-04-05,A,,NULL
Eve,40,65000,Male,Finance,Director,2020-02-20,C,email@example.com,NULL
Grace,25,NULL,Male,Marketing,Manager,2020-02-20,B,NULL,555-555-5555
David,25,NULL,NULL,Finance,Analyst,2020-02-20,D,email@example.com,098-765-4321
Alice,40,60000,NULL,Sales,Analyst,2020-01-15,B,user@domain.com,098-765-4321
Eve,50,65000,Male,HR,Manager,2019-12-01,F,email@example.com,123-456-7890
Grace,25,50000,Famale,Marketing,Analyst,2020-02-20,A,email@example.com,123-456-7890
Jack,25,65000,Famale,Marketing,Manager,2019-12-01,C,email@example.com,123-456-7890
Jack,25,65000,NULL,Sales,Manager,2020-01-15,F,name@company.org,098-765-4321
Frank,NULL,50000,NULL,Finance,Clerk,2019-12-01,D,name@company.org,555-555-5555
Eve,NULL,70000,NULL,HR,Assistant,2019-03-25,F,NULL,098-765-4321
David,35,65000,NULL,Finance,Analyst,2019-12-01,F,user@domain.com,098-765-4321
Bob,30,65000,NULL,IT,Analyst,2020-02-20,D,email@example.com,098-765-4321
David,40,70000,Famale,Finance,Clerk,2020-01-15,F,email@example.com,098-765-4321
Jack,40,65000,NULL,Marketing,Clerk,2020-02-20,C,email@example.com,555-555-5555
Jack,40,65000,Male,HR,Clerk,2019-03-25,B,email@example.com,123-456-7890
Charlie,35,65000,Male,Finance,Director,2020-02-20,F,name@company.org,NULL
Jack,NULL,NULL,Famale,HR,Director,2020-02-20,C,NULL,123-456-7890
Alice,50,55000,Male,HR,Director,2020-02-20,B,,123-456-7890
Hannah,50,70000,Famale,IT,Manager,2018-04-05,B,user@domain.com,NULL
Eve,35,65000,Famale,IT,Analyst,2019-03-25,F,email@example.com,098-765-4321
David,50,NULL,Male,Marketing,Assistant,2020-02-20,C,NULL,555-555-5555
Hannah,40,70000,NULL,Sales,Manager,2020-02-20,F,,555-555-5555
Grace,30,60000,Male,HR,Analyst,2020-02-20,D,NULL,123-456-7890
Bob,25,60000,Male,Sales,Analyst,2020-01-15,B,name@company.org,NULL
Alice,NULL,65000,Famale,Marketing,Clerk,2018-04-05,F,,NULL
David,NULL,NULL,Male,HR,Clerk,2020-01-15,B,NULL,098-765-4321
Hannah,35,NULL,Famale,HR,Manager,2018-04-05,C,name@company.org,123-456-7890
Bob,NULL,70000,NULL,Sales,Clerk,2020-02-20,A,NULL,555-555-5555
Charlie,40,70000,NULL,Finance,Analyst,2019-03-25,F,NULL,NULL
Alice,50,NULL,NULL,IT,Clerk,2019-12-01,F,,NULL
Alice,40,70000,Male,Finance,Director,2019-12-01,B,name@company.org,123-456-7890
Charlie,35,NULL,Famale,Sales,Clerk,2020-02-20,C,email@example.com,NULL
Eve,40,55000,NULL,IT,Analyst,2020-01-15,D,user@domain.com,555-555-5555
Charlie,50,NULL,Famale,Finance,Manager,2019-03-25,C,,123-456-7890
Alice,30,60000,Famale,IT,Assistant,2018-04-05,F,name@company.org,NULL
Alice,35,70000,NULL,HR,Clerk,2020-02-20,D,NULL,NULL
Hannah,30,NULL,NULL,Finance,Analyst,2019-03-25,C,name@company.org,098-765-4321
Jack,25,NULL,Famale,IT,Assistant,2019-03-25,A,user@domain.com,555-555-5555
Bob,30,70000,NULL,IT,Assistant,2018-04-05,B,user@domain.com,555-555-5555
Charlie,25,55000,Famale,IT,Director,2019-03-25,C,email@example.com,NULL
Bob,25,55000,Famale,Finance,Assistant,2020-01-15,C,email@example.com,123-456-7890
Charlie,30,70000,NULL,Marketing,Analyst,2020-01-15,A,user@domain.com,NULL
Grace,35,50000,Male,Finance,Analyst,2020-01-15,F,,NULL
Alice,50,70000,NULL,Sales,Clerk,2019-03-25,B,,098-765-4321
Jack,40,70000,Male,Finance,Clerk,2020-01-15,C,NULL,098-765-4321
Hannah,40,55000,Famale,IT,Clerk,2018-04-05,D,email@example.com,098-765-4321
Jack,50,55000,Famale,HR,Assistant,2019-03-25,C,NULL,NULL
Jack,25,70000,Male,Finance,Assistant,2019-12-01,B,email@example.com,NULL
Jack,25,70000,Famale,Finance,Director,2019-03-25,C,user@domain.com,555-555-5555
Bob,35,70000,Male,IT,Clerk,2018-04-05,A,,123-456-7890
Charlie,NULL,55000,Male,HR,Manager,2019-12-01,C,,555-555-5555
Ivy,30,70000,Famale,HR,Director,2019-03-25,C,user@domain.com,NULL
Grace,25,70000,Male,Sales,Manager,2020-01-15,D,NULL,555-555-5555
David,40,65000,NULL,Finance,Assistant,2020-02-20,A,NULL,NULL
Jack,35,50000,NULL,HR,Director,2020-02-20,A,name@company.org,098-765-4321
Eve,30,60000,Famale,HR,Director,2020-01-15,C,email@example.com,NULL
Bob,35,50000,Famale,Marketing,Analyst,2020-02-20,D,NULL,NULL
Hannah,30,65000,Male,Marketing,Assistant,2020-02-20,C,user@domain.com,555-555-5555
David,30,60000,Male,HR,Assistant,2020-01-15,C,NULL,NULL
Ivy,50,70000,Male,Sales,Director,2020-01-15,B,,555-555-5555
Eve,25,65000,Male,HR,Assistant,2019-03-25,B,email@example.com,555-555-5555
Ivy,35,70000,NULL,IT,Director,2019-03-25,D,name@company.org,NULL
David,35,55000,NULL,Finance,Analyst,2020-01-15,F,email@example.com,555-555-5555
Jack,50,NULL,Famale,Sales,Director,2018-04-05,B,,098-765-4321
Eve,40,65000,Male,IT,Assistant,2020-02-20,F,,555-555-5555
Ivy,40,55000,Male,Sales,Assistant,2019-03-25,A,,098-765-4321
Hannah,25,65000,Famale,IT,Director,2020-02-20,B,,NULL
Charlie,25,65000,Male,Finance,Director,2019-12-01,B,user@domain.com,NULL
Alice,NULL,55000,Male,Finance,Director,2020-01-15,D,name@company.org,098-765-4321
Charlie,50,60000,Male,Marketing,Clerk,2018-04-05,F,,NULL
David,40,50000,Male,IT,Assistant,2019-12-01,B,,NULL
Bob,30,70000,Male,Marketing,Assistant,2019-12-01,B,NULL,098-765-4321
Alice,35,65000,Famale,IT,Clerk,2019-12-01,D,name@company.org,NULL
Grace,25,70000,Male,Marketing,Director,2020-01-15,D,email@example.com,123-456-7890
Hannah,35,NULL,Famale,Finance,Analyst,2019-03-25,F,name@company.org,NULL
Grace,35,55000,Male,Sales,Director,2020-01-15,A,name@company.org,NULL
Eve,NULL,70000,NULL,Marketing,Director,2019-03-25,A,name@company.org,NULL
Alice,40,55000,NULL,IT,Clerk,2019-12-01,C,,NULL
Grace,25,70000,NULL,IT,Assistant,2019-12-01,B,,555-555-5555
Grace,35,50000,NULL,Finance,Director,2018-04-05,F,user@domain.com,NULL
Ivy,25,50000,Famale,IT,Assistant,2019-03-25,B,email@example.com,NULL
Charlie,30,50000,Famale,HR,Manager,2019-12-01,F,NULL,098-765-4321
Ivy,NULL,50000,Male,Sales,Assistant,2020-02-20,F,name@company.org,123-456-7890
Alice,30,50000,NULL,Marketing,Analyst,2018-04-05,F,email@example.com,555-555-5555
Alice,25,50000,Famale,Sales,Analyst,2020-01-15,B,email@example.com,098-765-4321
David,25,55000,Male,Finance,Director,2018-04-05,D,user@domain.com,123-456-7890
Ivy,40,65000,Male,Marketing,Assistant,2020-02-20,B,NULL,123-456-7890
Frank,35,70000,Famale,Marketing,Director,2019-03-25,F,name@company.org,123-456-7890
Charlie,35,50000,NULL,HR,Clerk,2020-01-15,C,NULL,098-765-4321
Alice,30,55000,Male,Finance,Analyst,2020-01-15,A,user@domain.com,555-555-5555
David,NULL,55000,NULL,IT,Director,2019-03-25,F,,555-555-5555
Ivy,50,55000,NULL,HR,Clerk,2018-04-05,C,email@example.com,123-456-7890
Charlie,35,65000,NULL,HR,Director,2019-12-01,D,name@company.org,098-765-4321
Ivy,40,70000,Male,Sales,Assistant,2018-04-05,F,,123-456-7890
Grace,30,65000,NULL,Sales,Assistant,2020-02-20,C,user@domain.com,NULL
David,30,60000,Male,Sales,Assistant,2019-12-01,F,NULL,555-555-5555
Charlie,50,55000,NULL,HR,Assistant,2018-04-05,B,email@example.com,NULL
Jack,40,60000,Male,IT,Manager,2019-03-25,C,name@company.org,123-456-7890
Eve,NULL,NULL,NULL,Marketing,Clerk,2020-02-20,B,,NULL
Eve,40,50000,Famale,Sales,Clerk,2020-02-20,B,,555-555-5555
Charlie,NULL,50000,NULL,IT,Assistant,2020-02-20,C,email@example.com,098-765-4321
Ivy,40,65000,NULL,Finance,Manager,2019-12-01,A,NULL,555-555-5555
David,40,70000,Male,Sales,Assistant,2020-01-15,C,user@domain.com,098-765-4321
Eve,25,60000,Male,Marketing,Manager,2019-12-01,A,NULL,098-765-4321
David,30,70000,NULL,Finance,Assistant,2018-04-05,F,NULL,123-456-7890
Eve,40,65000,Famale,Finance,Analyst,2020-01-15,F,NULL,123-456-7890
Grace,50,50000,Famale,Marketing,Analyst,2018-04-05,C,email@example.com,555-555-5555
Ivy,40,70000,Male,Sales,Director,2020-01-15,F,email@example.com,NULL
Grace,35,70000,Famale,HR,Assistant,2019-12-01,D,user@domain.com,555-555-5555
Eve,30,50000,NULL,Marketing,Clerk,2020-02-20,B,NULL,NULL
Jack,35,60000,Male,Marketing,Director,2019-03-25,B,email@example.com,098-765-4321
Jack,30,50000,NULL,Marketing,Analyst,2020-02-20,A,user@domain.com,098-765-4321
Grace,35,70000,Male,Finance,Assistant,2019-12-01,F,user@domain.com,123-456-7890
Jack,40,60000,Male,IT,Director,2020-01-15,A,NULL,NULL
Eve,40,60000,Male,HR,Assistant,2020-02-20,B,name@company.org,123-456-7890
Charlie,25,50000,Male,Sales,Analyst,2019-12-01,B,NULL,NULL
Grace,50,70000,Famale,Sales,Director,2018-04-05,F,name@company.org,555-555-5555
Bob,35,65000,NULL,IT,Analyst,2019-03-25,D,user@domain.com,555-555-5555
Ivy,NULL,70000,NULL,Marketing,Manager,2020-02-20,D,email@example.com,NULL
Jack,25,55000,NULL,HR,Analyst,2020-01-15,F,,123-456-7890
Jack,35,NULL,Male,Sales,Assistant,2018-04-05,F,user@domain.com,123-456-7890
Alice,35,65000,Famale,Sales,Clerk,2019-12-01,A,email@example.com,NULL
Frank,25,60000,NULL,Marketing,Analyst,2019-03-25,F,user@domain.com,555-555-5555
Grace,40,65000,Famale,IT,Clerk,2020-01-15,D,NULL,123-456-7890
Hannah,35,60000,Male,HR,Manager,2019-12-01,F,name@company.org,NULL
Jack,40,60000,NULL,IT,Director,2019-12-01,A,user@domain.com,555-555-5555
Ivy,25,65000,Famale,IT,Director,2020-02-20,A,email@example.com,NULL
Bob,40,60000,Male,HR,Clerk,2020-02-20,A,NULL,NULL
Jack,30,60000,Famale,HR,Director,2020-01-15,A,,098-765-4321
Bob,NULL,55000,NULL,Sales,Analyst,2019-12-01,C,NULL,NULL
Eve,35,70000,NULL,Sales,Clerk,2020-02-20,F,name@company.org,NULL
Eve,50,70000,Male,HR,Assistant,2019-03-25,B,NULL,123-456-7890
Frank,NULL,NULL,Male,Finance,Analyst,2019-03-25,F,,098-765-4321
Charlie,40,NULL,Male,Sales,Analyst,2019-12-01,C,email@example.com,NULL
Hannah,35,55000,Famale,Finance,Analyst,2020-02-20,A,user@domain.com,123-456-7890
Alice,40,NULL,Famale,HR,Assistant,2020-01-15,C,name@company.org,098-765-4321
Frank,30,65000,Famale,Sales,Manager,2020-01-15,D,,555-555-5555
David,25,50000,Male,IT,Director,2020-01-15,D,name@company.org,123-456-7890
Alice,35,50000,NULL,HR,Clerk,2019-03-25,F,NULL,NULL
Grace,30,50000,NULL,Marketing,Manager,2020-02-20,F,name@company.org,NULL
Ivy,30,55000,Famale,Finance,Clerk,2020-02-20,B,,098-765-4321
David,35,55000,Famale,HR,Director,2019-03-25,B,user@domain.com,123-456-7890
David,40,60000,NULL,HR,Assistant,2020-01-15,D,user@domain.com,555-555-5555
Frank,50,50000,NULL,Sales,Analyst,2020-01-15,A,name@company.org,NULL
Charlie,30,65000,Famale,Sales,Analyst,2019-12-01,C,email@example.com,NULL
Frank,NULL,NULL,Famale,Sales,Assistant,2018-04-05,B,name@company.org,123-456-7890
Grace,30,65000,NULL,Marketing,Manager,2020-02-20,B,NULL,555-555-5555
Jack,50,NULL,Male,Sales,Manager,2020-02-20,A,user@domain.com,098-765-4321
Jack,40,50000,Famale,HR,Clerk,2020-02-20,A,user@domain.com,123-456-7890
Charlie,40,50000,NULL,Sales,Assistant,2018-04-05,F,user@domain.com,098-765-4321
Grace,NULL,50000,NULL,IT,Manager,2019-12-01,C,email@example.com,NULL
Charlie,30,55000,NULL,Sales,Assistant,2018-04-05,A,email@example.com,098-765-4321
Bob,40,NULL,NULL,Marketing,Director,2020-01-15,B,,555-555-5555
Jack,50,55000,Male,IT,Analyst,2020-01-15,B,name@company.org,NULL
David,35,55000,NULL,HR,Analyst,2020-02-20,D,name@company.org,555-555-5555
Hannah,25,70000,Famale,HR,Analyst,2019-03-25,A,NULL,098-765-4321
Ivy,25,65000,Male,Finance,Assistant,2020-02-20,F,user@domain.com,123-456-7890
Grace,25,65000,NULL,IT,Assistant,2019-03-25,C,email@example.com,NULL
Alice,30,60000,Male,Finance,Clerk,2018-04-05,F,NULL,NULL
Charlie,NULL,55000,Famale,IT,Analyst,2020-01-15,B,NULL,123-456-7890
Ivy,40,NULL,NULL,IT,Clerk,2019-03-25,F,email@example.com,123-456-7890
Alice,35,70000,Famale,Marketing,Analyst,2018-04-05,B,name@company.org,555-555-5555
Ivy,50,70000,NULL,Finance,Clerk,2020-01-15,B,user@domain.com,098-765-4321
Hannah,35,65000,NULL,Marketing,Clerk,2019-03-25,B,name@company.org,555-555-5555
Alice,50,55000,NULL,IT,Director,2020-02-20,B,NULL,098-765-4321
Frank,30,60000,NULL,HR,Clerk,2020-02-20,B,user@domain.com,555-555-5555
Eve,25,55000,NULL,IT,Assistant,2020-02-20,D,,123-456-7890
Frank,30,50000,Male,Marketing,Clerk,2018-04-05,F,NULL,NULL
Jack,NULL,55000,NULL,Finance,Analyst,2020-02-20,D,name@company.org,098-765-4321
Eve,NULL,50000,NULL,Finance,Clerk,2019-12-01,D,name@company.org,NULL
Frank,50,50000,Male,Marketing,Manager,2020-01-15,A,name@company.org,NULL
Eve,40,60000,Male,Finance,Analyst,2018-04-05,A,email@example.com,123-456-7890
Eve,40,NULL,Male,Sales,Manager,2020-02-20,A,NULL,555-555-5555
David,50,65000,Male,HR,Analyst,2020-01-15,C,user@domain.com,555-555-5555
Charlie,NULL,55000,Male,HR,Assistant,2019-03-25,A,name@company.org,123-456-7890
Charlie,NULL,50000,Male,HR,Assistant,2020-02-20,F,name@company.org,NULL
David,NULL,55000,NULL,Finance,Assistant,2020-01-15,D,email@example.com,NULL
Ivy,30,NULL,NULL,Finance,Manager,2019-12-01,F,user@domain.com,555-555-5555
Bob,NULL,65000,Famale,IT,Director,2019-03-25,A,NULL,098-765-4321
Ivy,35,NULL,NULL,IT,Analyst,2019-12-01,C,,NULL
Alice,25,65000,NULL,HR,Assistant,2020-01-15,C,email@example.com,098-765-4321
Alice,NULL,70000,Male,Sales,Analyst,2019-12-01,D,NULL,NULL
Eve,50,65000,Male,IT,Manager,2020-01-15,F,,098-765-4321
Frank,25,60000,NULL,IT,Director,2020-01-15,B,name@company.org,NULL
Frank,30,NULL,Famale,Finance,Manager,2019-12-01,F,name@company.org,098-765-4321
Charlie,50,50000,Male,Sales,Analyst,2020-01-15,A,user@domain.com,098-765-4321
Grace,25,70000,NULL,HR,Director,2020-02-20,B,,098-765-4321
Ivy,50,60000,NULL,IT,Director,2020-01-15,C,name@company.org,098-765-4321
Jack,30,55000,Famale,Sales,Manager,2018-04-05,D,name@company.org,123-456-7890
Hannah,35,NULL,Famale,Sales,Assistant,2020-01-15,D,user@domain.com,NULL
Frank,30,50000,Male,HR,Analyst,2018-04-05,C,NULL,NULL
Hannah,30,65000,Famale,Sales,Clerk,2020-01-15,A,name@company.org,NULL
Eve,50,50000,NULL,Sales,Clerk,2020-01-15,C,email@example.com,123-456-7890
Hannah,40,55000,NULL,Sales,Manager,2019-12-01,A,email@example.com,123-456-7890
Jack,NULL,70000,Famale,IT,Analyst,2020-02-20,B,NULL,123-456-7890
David,NULL,70000,Famale,HR,Analyst,2020-02-20,C,,123-456-7890
Jack,35,NULL,Famale,Sales,Manager,2019-03-25,A,user@domain.com,098-765-4321
Hannah,35,70000,Famale,Sales,Analyst,2019-12-01,B,email@example.com,NULL
Jack,NULL,NULL,Male,IT,Assistant,2019-12-01,C,email@example.com,555-555-5555
Bob,40,NULL,Famale,HR,Manager,2020-02-20,D,NULL,NULL
Eve,NULL,NULL,Male,Finance,Assistant,2019-12-01,C,,123-456-7890
Ivy,40,65000,NULL,IT,Analyst,2020-02-20,F,,NULL
David,35,60000,Famale,HR,Manager,2019-12-01,C,NULL,123-456-7890
Frank,25,NULL,Male,Sales,Analyst,2020-01-15,F,email@example.com,123-456-7890
Alice,50,NULL,Famale,HR,Manager,2020-02-20,B,user@domain.com,123-456-7890
Ivy,35,60000,NULL,HR,Analyst,2020-02-20,C,email@example.com,123-456-7890
Alice,35,50000,NULL,HR,Assistant,2018-04-05,B,,123-456-7890
Eve,30,NULL,NULL,Finance,Assistant,2019-12-01,B,email@example.com,NULL
David,30,65000,Famale,HR,Analyst,2019-12-01,A,user@domain.com,NULL
Charlie,30,70000,Famale,Finance,Manager,2020-02-20,B,name@company.org,123-456-7890
Frank,50,70000,Male,Sales,Clerk,2020-01-15,B,email@example.com,123-456-7890
Bob,30,55000,NULL,Finance,Assistant,2020-01-15,C,NULL,123-456-7890
Charlie,40,55000,Famale,Sales,Assistant,2020-01-15,C,name@company.org,123-456-7890
Eve,NULL,70000,NULL,Sales,Clerk,2019-12-01,D,NULL,098-765-4321
Ivy,25,70000,NULL,Finance,Analyst,2018-04-05,A,NULL,098-765-4321
Bob,35,65000,Male,IT,Manager,2020-02-20,B,NULL,555-555-5555
Jack,40,60000,Male,Marketing,Analyst,2019-03-25,A,email@example.com,123-456-7890
Hannah,25,55000,Male,HR,Director,2018-04-05,F,,555-555-5555
Bob,40,60000,Male,Marketing,Assistant,2019-03-25,B,name@company.org,NULL
Eve,40,65000,NULL,HR,Director,2018-04-05,A,user@domain.com,555-555-5555
Grace,35,70000,Male,HR,Assistant,2020-01-15,D,,NULL
Hannah,NULL,NULL,Male,Sales,Assistant,2019-12-01,D,email@example.com,098-765-4321
Alice,30,60000,Male,HR,Director,2019-03-25,B,NULL,098-765-4321
Frank,50,70000,Male,HR,Director,2018-04-05,F,user@domain.com,123-456-7890
Alice,NULL,70000,NULL,Finance,Analyst,2019-12-01,D,name@company.org,123-456-7890
Bob,50,50000,Male,Marketing,Director,2019-03-25,D,,NULL
Alice,35,60000,NULL,Finance,Analyst,2020-02-20,F,,NULL
Eve,35,NULL,Famale,HR,Analyst,2018-04-05,A,user@domain.com,NULL
Jack,35,60000,NULL,Sales,Analyst,2020-02-20,D,email@example.com,123-456-7890
Ivy,25,70000,NULL,Finance,Assistant,2020-01-15,C,name@company.org,123-456-7890
Frank,50,NULL,Male,Finance,Assistant,2020-02-20,D,user@domain.com,NULL
Alice,NULL,65000,Famale,IT,Director,2020-02-20,A,NULL,NULL
Alice,NULL,50000,Famale,HR,Assistant,2018-04-05,A,name@company.org,NULL
Bob,40,70000,Famale,Sales,Director,2020-01-15,B,,098-765-4321
Ivy,40,55000,Famale,Finance,Assistant,2020-02-20,C,user@domain.com,555-555-5555
Charlie,40,55000,NULL,Finance,Manager,2019-12-01,A,,555-555-5555
Alice,35,50000,Famale,Sales,Manager,2019-03-25,F,,123-456-7890
Eve,NULL,65000,NULL,HR,Director,2020-02-20,C,,098-765-4321
Grace,50,70000,NULL,IT,Assistant,2020-01-15,C,email@example.com,NULL
Frank,35,60000,NULL,Finance,Assistant,2020-02-20,F,,123-456-7890
Alice,25,50000,Famale,IT,Analyst,2019-03-25,D,NULL,098-765-4321
Eve,40,65000,Male,Marketing,Clerk,2020-01-15,F,NULL,NULL
Eve,35,60000,Male,HR,Director,2018-04-05,F,name@company.org,098-765-4321
Frank,35,55000,Famale,Marketing,Clerk,2020-01-15,D,,123-456-7890
Charlie,25,55000,Male,Marketing,Clerk,2018-04-05,D,,555-555-5555
Eve,30,60000,Male,Marketing,Director,2020-01-15,D,user@domain.com,NULL
Grace,NULL,50000,NULL,HR,Assistant,2019-03-25,D,email@example.com,NULL
Eve,50,55000,NULL,HR,Director,2019-03-25,D,name@company.org,098-765-4321
Eve,30,70000,Famale,Sales,Clerk,2020-01-15,F,,123-456-7890
Eve,40,NULL,Famale,IT,Assistant,2020-02-20,B,user@domain.com,123-456-7890
Jack,35,60000,Male,IT,Manager,2019-03-25,B,email@example.com,NULL
Jack,25,60000,NULL,Sales,Director,2018-04-05,A,name@company.org,123-456-7890
Charlie,25,55000,Famale,Sales,Director,2018-04-05,B,name@company.org,123-456-7890
Alice,NULL,50000,Famale,Marketing,Assistant,2019-12-01,B,,NULL
Eve,30,70000,Famale,Sales,Manager,2018-04-05,F,name@company.org,NULL
Ivy,NULL,50000,Famale,Finance,Manager,2019-12-01,D,user@domain.com,555-555-5555
Alice,35,65000,Famale,IT,Assistant,2020-01-15,D,name@company.org,555-555-5555
Charlie,NULL,65000,Famale,Sales,Analyst,2020-01-15,F,NULL,098-765-4321
David,50,NULL,Male,Finance,Director,2020-01-15,B,user@domain.com,NULL
